timestamp,device,flow_rate_lpm,pressure_bar,total_usage_liters
2025-11-17 00:02:49,garden_irrigation,13.42,2.81,25.22
2025-11-17 00:25:28,None,33.3,2.67,20.79
2025-11-17 00:47:34,bath,25.75,2.12,25.68
2025-11-17 00:11:34,shower,21.15,3.63,36.5
2025-11-17 00:11:34,bath,5.88,3.17,7.7
2025-11-17 00:32:05,garden_irrigation,5.88,4.53,11.16
2025-11-17 00:02:12,garden_irrigation,2.5,1.61,6.03
2025-11-17 00:02:12,garden_irrigation,30.38,3.75,14.22
2025-11-17 00:35:49,toilet_flush,21.24,4.17,38.91
2025-11-17 00:13:03,toilet_flush,24.93,4.16,18.19
2025-11-17 00:28:53,garden_irrigation,1.21,4.6,1.4
2025-11-17 00:22:34,garden_irrigation,33.96,4.05,9.36
2025-11-17 00:16:55,shower,29.22,4.75,14.98
2025-11-17 00:01:08,shower,7.83,2.66,7.32
2025-11-17 00:59:08,kitchen_sink,6.77,3.26,6.68
2025-11-17 00:24:24,dishwasher,6.83,1.55,15.5
2025-11-17 00:24:48,kitchen_sink,11.0,1.52,20.97
2025-11-17 00:34:54,toilet_flush,18.6,2.34,45.31
2025-11-17 00:24:56,washing_machine,15.4,1.85,24.3
2025-11-17 00:01:23,shower,1055.0,2.41,7.98
2025-11-17 00:12:21,kitchen_sink,21.61,2.12,20.61
2025-11-17 00:11:41,dishwasher,5.31,1.6,4.97
2025-11-17 00:55:41,dishwasher,10.58,4.68,10.06
2025-11-17 00:14:43,shower,13.14,1.53,22.97
2025-11-17 00:20:42,shower,16.23,4.08,23.06
2025-11-17 00:06:43,bath,27.59,2.03,29.98
2025-11-17 00:03:27,washing_machine,7.39,4.69,4.01
2025-11-17 00:13:01,shower,18.24,4.62,4.58
2025-11-17 00:58:31,None,20.94,3.79,14.73
2025-11-17 00:46:47,dishwasher,2.1,3.85,0.94
2025-11-17 00:28:36,washing_machine,21.46,1.52,43.06
2025-11-17 00:01:16,dishwasher,6.38,4.95,2.93
2025-11-17 00:26:05,bath,2.74,4.57,5.11
2025-11-17 00:26:26,dishwasher,33.24,4.63,36.13
2025-11-17 00:11:15,bath,33.81,3.81,12.47
2025-11-17 00:11:39,washing_machine,28.39,2.71,58.75
2025-11-17 00:25:30,shower,11.01,4.63,16.88
2025-11-17 00:52:22,shower,3.87,2.52,2.87
2025-11-17 00:46:33,kitchen_sink,24.11,3.47,54.43
2025-11-17 00:03:08,shower,15.69,1.85,4.77
2025-11-17 00:59:42,dishwasher,4.71,4.73,3.13
2025-11-17 00:54:24,shower,17.58,1.99,33.92
2025-11-17 00:13:58,shower,1.69,2.29,3.1
2025-11-17 00:13:58,kitchen_sink,31.87,3.45,27.58
2025-11-17 00:46:21,washing_machine,9.43,4.17,3.23
2025-11-17 00:08:11,kitchen_sink,23.36,3.67,50.77
2025-11-17 00:54:51,dishwasher,11.25,2.31,10.37
2025-11-17 00:31:03,dishwasher,18.44,1.5,11.99
2025-11-17 00:13:45,shower,19.36,4.15,26.85
2025-11-17 00:51:22,garden_irrigation,6.88,4.95,15.78
2025-11-17 00:50:57,shower,33.95,4.33,10.19
2025-11-17 00:08:47,kitchen_sink,27.24,3.11,53.43
2025-11-17 00:20:42,bath,32.91,4.66,49.91
2025-11-17 00:38:19,bath,31.37,2.93,36.97
2025-11-17 00:49:38,kitchen_sink,21.13,3.34,40.39
2025-11-17 00:50:49,toilet_flush,32.3,3.17,78.21
2025-11-17 00:51:39,dishwasher,3.55,3.07,2.58
2025-11-17 00:50:09,bath,7.26,4.21,3.85
2025-11-17 00:31:03,garden_irrigation,2.06,3.34,4.74
2025-11-17 00:30:50,kitchen_sink,11.72,2.61,20.38
2025-11-17 00:56:49,bath,13.91,2.4,16.79
2025-11-17 00:32:38,bath,9.86,1.63,14.97
2025-11-17 00:32:38,washing_machine,29.09,3.54,55.7
2025-11-17 00:13:24,shower,12.81,2.3,25.34
2025-11-17 00:24:54,bath,10.19,2.02,23.6
2025-11-17 00:17:23,bath,19.22,3.79,22.71
2025-11-17 00:08:03,washing_machine,5.36,3.88,4.69
2025-11-17 00:13:01,dishwasher,28.18,4.13,47.1
2025-11-17 00:39:53,kitchen_sink,3.07,3.26,3.55
2025-11-17 00:29:24,kitchen_sink,34.55,4.63,54.16
2025-11-17 00:40:10,washing_machine,27.14,4.78,31.64
2025-11-17 00:47:30,washing_machine,7.36,4.33,
2025-11-17 00:26:10,toilet_flush,0.69,3.72,0.88
2025-11-17 00:55:07,shower,28.63,2.56,51.22
2025-11-17 00:43:24,washing_machine,24.89,4.94,50.73
2025-11-17 00:19:56,shower,2565.0,2.46,34.23
2025-11-17 00:31:48,bath,27.11,2.21,15.73
2025-11-17 00:36:08,garden_irrigation,3.05,3.05,3.52
2025-11-17 00:17:53,kitchen_sink,12.87,1.7,25.85
2025-11-17 00:58:58,washing_machine,4.5,4.92,5.17
2025-11-17 00:23:29,garden_irrigation,30.28,3.56,54.57
2025-11-17 00:34:17,kitchen_sink,22.0,3.45,30.07
2025-11-17 00:49:41,toilet_flush,11.92,3.8,9.0
2025-11-17 00:53:41,kitchen_sink,2.69,3.24,5.46
2025-11-17 00:53:41,washing_machine,11.23,1.61,4.42
2025-11-17 00:15:22,garden_irrigation,11.72,3.64,16.49
2025-11-17 00:51:06,garden_irrigation,25.67,4.01,17.47
2025-11-17 00:03:39,garden_irrigation,22.5,2.96,7.97
2025-11-17 00:14:23,kitchen_sink,31.11,4.15,42.21
2025-11-17 00:14:23,shower,16.79,2.29,22.65
2025-11-17 00:43:40,dishwasher,463.0,2.27,8.45
2025-11-17 00:04:12,shower,25.11,2.06,48.03
2025-11-17 00:35:26,kitchen_sink,26.75,2.8,50.13
2025-11-17 00:52:32,washing_machine,19.86,4.46,22.68
2025-11-17 00:42:27,kitchen_sink,27.1,4.4,
2025-11-17 00:10:30,shower,17.54,2.84,26.78
2025-11-17 00:23:18,kitchen_sink,18.53,3.56,21.67
2025-11-17 00:56:30,garden_irrigation,15.25,4.02,24.0
2025-11-17 00:08:56,washing_machine,1.38,2.34,3.28
2025-11-17 00:29:28,dishwasher,4.22,2.09,2.72
2025-11-17 00:55:17,washing_machine,1.58,4.9,3.61
2025-11-17 00:24:38,toilet_flush,22.46,3.66,7.25
2025-11-17 00:41:43,dishwasher,11.35,4.93,10.32
2025-11-17 00:01:27,kitchen_sink,18.05,2.68,15.57
2025-11-17 00:13:24,bath,31.81,3.96,52.19
2025-11-17 00:13:24,bath,9.1,2.28,4.57
2025-11-17 00:37:11,dishwasher,14.66,2.41,32.68
2025-11-17 00:21:16,dishwasher,26.57,3.29,55.95
2025-11-17 00:51:33,dishwasher,8.39,2.62,14.26
2025-11-17 00:30:44,bath,3.16,2.09,3.96
2025-11-17 00:54:08,garden_irrigation,10.5,2.42,24.63
2025-11-17 00:42:50,bath,6.06,1.63,12.79
2025-11-17 00:31:50,kitchen_sink,32.57,3.97,43.92
2025-11-17 00:01:15,toilet_flush,28.38,3.22,51.49
2025-11-17 00:57:14,toilet_flush,22.35,1.83,33.61
